Cancer Type,Source URL,General Description,Prognosis (Vooruitzichten),Symptoms (Symptomen),Causes (Oorzaken),Treatments (Behandeling)
Hersentumoren,https://www.kanker.nl/kankersoorten/hersentumoren/algemeen/wat-is-hersentumoren,Een tumor in de hersenen kan ook een uitzaaiing zijn van kanker ergens anders in het lichaam. Er isaparte informatie over hersenuitzaaiingen.,"Begrijpelijk dat je wilt weten wat een hersentumor betekent voor je vooruitzichten. Is de tumor goed te behandelen en wat kan je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van een hersentumor hangt af van verschillende dingen: de soort hersentumor die je hebt de plek van de hersentumor binnen de hersenen de tumorgraad: de snelheid waarmee tumorcellen groeien en zich delen de kenmerken van de tumor: veranderingen in het DNA van de tumor. Je arts kan je hier meer over vertellen.","Als je een hersentumor hebt, kun je verschillende klachten krijgen. Symptomen die veel voorkomen: hoofdpijn die niet overgaat, problemen met denken, veranderingen in persoonlijkheid en gedrag, uitvalsverschijnselen en epileptische aanvallen. Niet iedereen met een hersentumor heeft dezelfde symptomen. Welke klachten iemand heeft, hangt af van: de grootte van de tumor de groeisnelheid de plaats van de tumor Lees verder over de symptomen van een hersentumor .",N/A,"Welke behandeling je krijgt, hoor je van je arts. Dat ligt onder andere aan de soort, de grootte en de plek van de hersentumor. Maar ook aan de graad en de kenmerken van de tumor . Als het kan, probeert de chirurg de tumor zo goed mogelijk weg te halen met een operatie. Chemotherapie en bestraling kunnen ook behandelingen zijn bij een hersentumor. Lees verder over de behandeling van een hersentumor ."
Hodgkinlymfoom,https://www.kanker.nl/kankersoorten/hodgkinlymfoom/algemeen/wat-is-hodgkinlymfoom,Hodgkinlymfoom is een vorm van lymfeklierkanker. De kanker ontstaat in een lymfeklier of in lymfeweefsel. Vanuit daar kunnen de kankercellen zich verspreiden door het lichaam. Hodgkinlymfoom heet ook wel de ziekte van Hodgkin.,"Als je weet dat je hodgkinlymfoom hebt, heb je misschien vragen over je vooruitzichten. Is hodgkinlymfoom goed te behandelen en wat zijn de verwachtingen? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van hodgkinlymfoom hangt af van verschillende dingen. Bijvoorbeeld of de kanker gevoelig is voor de medicijnen. De meeste mensen met hodgkinlymfoom genezen na een behandeling. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van hodgkinlymfoom .","Soms voel je een lymfeklier die groter is dan normaal en merk je zo een hodgkinlymfoom op. Bijvoorbeeld als het lymfoom in je hals zit, in je oksel of in je lies. Maar dat hoeft niet: er zitten ook lymfeklieren dieper in je lichaam, die je niet voelt als ze opgezet zijn. Je kunt ook andere klachten hebben door een hodgkinlymfoom. Lees verder over de symptomen van hodgkinlymfoom .",Meestal is er geen duidelijke oorzaak van hodgkinlymfoom. Hodgkinlymfoom is ook niet erfelijk.,"Er zijn verschillende behandelingen mogelijk bij een hodgkinlymfoom. De meeste mensen krijgen chemotherapie, soms gecombineerd met bestraling of immunotherapie. Lees verder over de behandeling van hodgkinlymfoom ."
Hoge urinewegkanker,https://www.kanker.nl/kankersoorten/hoge-urinewegkanker/algemeen/wat-is-hoge-urinewegkanker,Hoge urinewegkanker is kanker die ontstaat in 1 of allebei de urineleiders of nierbekkens. Deze soort kanker komt heel weinig voor.,"Begrijpelijk dat je op zoek gaat naar wat kanker betekent voor je vooruitzichten. Is het goed te behandelen? En wat kun je verwachten voor de toekomst? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van hoge urinewegkanker hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is. En of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de cijfers over hoge urinewegkanker .",Hoge urinewegkanker en de behandeling ervan kunnen invloed hebben op je leven. Sommige mensen blijven last houden van de gevolgen van de behandeling. Bijvoorbeeld van vermoeidheid.,Mensen die roken hebben meer kans op hoge urinewegkanker. Er zijn ook chemische stoffen waar sommige mensen mee gewerkt hebben die de kans op hoge urinewegkanker groter maken. Soms is hoge urinewegkanker erfelijk. Dat betekent dat de kans om deze soort kanker te krijgen in jouw familie groter is. Lees verder over de oorzaken en risicofactoren van hoge urinewegkanker .,"Zijn er nog geen uitzaaiingen, dan krijgen de meeste mensen een operatie. Is de kanker wel uitgezaaid, dan kan immunotherapie of chemotherapie een behandeling zijn. Lees verder over behandelingen bij hoge urinewegkanker ."
Hoofd-halskanker,https://www.kanker.nl/kankersoorten/hoofd-halskanker/algemeen/wat-is-hoofd-halskanker,"Hoofd-halskanker is een verzamelnaam van verschillende soorten kanker in het gezicht of in de hals. Zoals keelkanker, mondkanker, strottenhoofdkanker of neuskanker.",N/A,N/A,N/A,N/A
Huidkanker,https://www.kanker.nl/kankersoorten/huidkanker/algemeen/wat-is-huidkanker,"Een vlekje, plekje of knobbeltje op je huid dat er anders uitziet dan normaal. Is het onschuldig of is het huidkanker? Lees hoe je huidkanker kunt herkennen en welke soorten huidkanker er zijn.",De vooruitzichten bij huidkanker zijn goed. Bijna alle mensen met een basaalcelcarcinoom worden weer beter. Tien jaar na de diagnose zijn 9 van de 10 mensen met een melanoom of een plaveiselcelcarcinoom nog in leven.,N/A,N/A,"Welke behandeling je krijgt, ligt aan de soort huidkanker die je hebt. Als het kan, verwijdert de arts de huidkanker door het plekje helemaal weg te snijden. Andere behandelingen die je kunt krijgen zijn bijvoorbeeld bestraling of een behandeling met een crème of tabletten. Lees meer over de behandeling van basaalcelcarcinoom . Lees meer over de behandeling van plaveiselcelcarcinoom . Lees meer over de behandeling van melanoom ."
Huidlymfoom,https://www.kanker.nl/kankersoorten/huidlymfoom/algemeen/wat-is-huidlymfoom,Een huidlymfoom kan overal op je lichaam voorkomen. Een ander woord voor huidlymfoom is cutaan lymfoom. Cutaan betekent huid.,"De vooruitzichten bij een huidlymfoom hangen vooral af van het soort huidlymfoom. De meeste mensen hebben een langzaam groeiend huidlymfoom. Dan heb je goede vooruitzichten. Je kunt er meestal niet van genezen, maar veel mensen met een langzaam groeiend huidlymfoom kunnen daar oud mee worden. Bij een snel groeiend huidlymfoom zijn je vooruitzichten meestal slechter. Het is lastig om algemene informatie te geven over jouw situatie. De vooruitzichten hangen ook af van je persoonlijke omstandigheden. Heb je vragen? Stel ze dan aan je arts.",N/A,"Een huidlymfoom ontstaat als de lymfocyten, een bepaald soort witte bloedcellen in je huid ongeremd gaan delen en groeien. Meestal komt het dat door een afwijking in het DNA. Soms speelt een infectie mee bij het ontstaan van huidlymfoom. Lees verder over de oorzaken en risicofactoren van huidlymfoom .","Er zijn verschillende behandelingen voor huidlymfoom. Welke behandeling je krijgt, verschilt per soort huidlymfoom. Vaak krijg je eerst een hormoonzalf. Lees verder over de behandeling per soort huidlymfoom . Weet je niet welk soort huidlymfoom je hebt? Bekijk dan alle behandelingen van huidlymfoom ."
Kanker bij kinderen,https://www.kanker.nl/kankersoorten/kanker-bij-kinderen/algemeen/wat-is-kanker-bij-kinderen,"Kanker komt ook voor bij kinderen. Kinderkanker is niet een soort kanker, maar een verzamelnaam voor de verschillende kankersoorten bij kinderen. Elk jaar krijgen zo’n 600 kinderen een vorm van kanker. De meeste kinderen genezen van kanker.",N/A,N/A,N/A,N/A
Keelkanker,https://www.kanker.nl/kankersoorten/keelkanker/algemeen/wat-is-keelkanker,Keelkanker is kanker die in de keel ontstaat. Het medische woord is farynxcarcinoom. Farynx betekent keel. Keelkanker komt weinig voor. Per jaar krijgen ongeveer 1000 mensen de diagnose. Dat zijn vooral mannen.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is keelkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van keelkanker hangt af van verschillende dingen. Bijvoorbeeld hoe vroeg de ziekte is ontdekt en wat de oorzaak van de kanker is. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van keelkanker .",Veel mensen met keelkanker hebben in het begin geen klachten. Of wat vage klachten zoals keelpijn en moeite met slikken. Of een verstopte neus. Lees verder over de symptomen bij keelkanker .,"Er zijn factoren die het risico op keelkanker groter maken. Zoals roken, alcohol drinken en een besmetting met het humaan papillomavirus (HPV). Lees verder over de oorzaken en risicofactoren bij keelkanker . ",Je kunt verschillende behandelingen krijgen bij keelkanker. De meeste mensen krijgen bestraling. Maar ook chemoradiatie of een operatie kan een behandeling zijn. Lees verder over behandelingen bij keelkanker .
Leukemie,https://www.kanker.nl/kankersoorten/leukemie/algemeen/wat-is-leukemie,Leukemie is kanker van de witte bloedcellen. Het is een verzamelnaam van veel verschillende soorten leukemie. De belangrijkste tweedeling is acute leukemie en chronische leukemie.,De overlevingskansen van leukemie zijn heel verschillend. Ze hangen af van de precieze soort leukemie. Over het algemeen is de prognose van chronische leukemie beter dan de prognose van acute leukemie. Lees verder over de vooruitzichten bij leukemie . ,"Bij leukemie gaat er iets mis in het beenmerg bij de aanmaak van bloedcellen. De verschillende soorten bloedcellen zijn nodig voor de bloedstolling, je afweer en het transport van zuurstof naar de cellen. Bij leukemie kunnen verschillende symptomen ontstaan: meer kans op bloedingen blauwe plekken grotere kans op infecties vermoeidheid door bloedarmoede Welke symptomen je kunt krijgen, ligt vooral aan de soort leukemie. Lees verder over de symptomen van leukemie . ","Dat er een fout in het DNA van de stamcellen ontstaat, is meestal toeval. De fouten zijn niet erfelijk, maar in sommige families komt vaker leukemie voor dan gemiddeld. Als je eerder bestraling of chemotherapie hebt gehad, kan de kans op leukemie groter worden. Ook door bepaalde toxische stoffen of radioactieve straling. Leukemie is net als alle andere kankersoorten niet besmettelijk. ","Er zijn veel behandelingen mogelijk bij leukemie. Welke behandeling je krijgt, hangt heel sterk af van de soort leukemie die je hebt. Soms moet de behandeling acuut gestart worden en soms is nog lange tijd geen behandeling nodig. Je conditie en fitheid zijn vaak ook belangrijk bij het kiezen van een behandeling, zeker bij acute leukemie. Lees verder over de behandelingen bij leukemie ."
Leverkanker,https://www.kanker.nl/kankersoorten/leverkanker/algemeen/wat-is-leverkanker,"Leverkanker is kanker die in de lever ontstaat. Leverkanker ontstaat meestal als de lever erg beschadigd is geraakt, bijvoorbeeld door een chronische leverziekte.","Veel mensen gaan op zoek naar wat kanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van leverkanker hangt af van verschillende dingen. Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Ook de conditie van je lever speelt een rol. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van leverkanker .","Van leverkanker merk je vaak lange tijd niets. Daarom wordt leverkanker vaak pas laat ontdekt. Klachten die vaak voorkomen bij leverkanker zijn buikpijn, minder eetlust, afvallen, misselijkheid of geelzucht. Maar je kunt ook andere klachten hebben. Lees verder over de symptomen van leverkanker .",Leverkanker ontstaat meestal als de lever erg beschadigd is. Ongeveer 8 op de 10 mensen met leverkanker heeft ook levercirrose; dat is ernstige leverschade. Lees verder over de oorzaken en risicofactoren van leverkanker .,"Bij leverkanker zijn verschillende behandelingen mogelijk. De meeste mensen met leverkanker krijgen een behandeling om de ziekte te remmen en klachten te verminderen, zoals TACE, doelgerichte therapie of TARE. Een leveroperatie kan soms ook een behandeling zijn. Lees verder over de behandeling van leverkanker ."
Lipkanker,https://www.kanker.nl/kankersoorten/lipkanker/algemeen/wat-is-lipkanker,Bij lipkanker zit er een kwaadaardige tumor op je lip. Een kwaadaardige tumor betekent kanker. Lipkanker zit bijna altijd op je onderlip. Het is een vorm van hoofd-halskanker.,N/A,"Lipkanker begint vaak als een klein, onrustig plekje op je onderlip. Dat kan eruit zien als een wit of rood bultje. Of als een blaar, zweertje, kloof of korstje dat maar niet geneest. Lees meer over hoe je lipkanker kunt herkennen .","De belangrijkste oorzaken van lipkanker zijn veel zonlicht, roken en alcohol drinken. Lees verder over de risicofactoren van lipkanker .",Bij lipkanker kun je verschillende behandelingen krijgen. Bij een kleine tumor stelt de arts meestal een operatie voor. Mensen met een grotere tumor op de lip krijgen vaker een behandeling met inwendige of uitwendige bestraling. Bekijk de uitgebreide informatie over de behandeling van lipkanker .
Longkanker,https://www.kanker.nl/kankersoorten/longkanker/algemeen/wat-is-longkanker,Longkanker is kanker die ontstaat in je longen. Het kan in 1 long zitten of in allebei je longen. De belangrijkste soorten longkanker zijn: niet-kleincellige longkanker en kleincellige longkanker. Het medische woord voor longkanker is longcarcinoom. Jaarlijks krijgen ongeveer 14.500 mensen de diagnose longkanker.,De prognose van longkanker hangt af van verschillende dingen. Bijvoorbeeld wat voor soort longkanker je hebt. En of het is uitgezaaid. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van niet-kleincellige longkanker . Bekijk de overlevingscijfers van kleincellige longkanker .,N/A,N/A,"Je kunt verschillende behandelingen krijgen bij longkanker. Bijvoorbeeld een operatie, bestraling, chemoradiatie, immunotherapie of doelgerichte therapie. Lees verder over behandelingen bij longkanker ."
Luchtpijpkanker,https://www.kanker.nl/kankersoorten/luchtpijpkanker/algemeen/wat-is-luchtpijpkanker,Luchtpijpkanker is kanker die ontstaat in je luchtpijp. Heel weinig mensen krijgen deze soort kanker. Het medische woord voor luchtpijpkanker is tracheacarcinoom.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is luchtpijpkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van luchtpijpkanker hangt af van verschillende dingen. Bijvoorbeeld wat voor soort luchtpijpkanker je hebt. En of het is uitgezaaid. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen.","Luchtpijpkanker en de behandeling kunnen invloed hebben op je leven. Sommige mensen blijven last houden van de gevolgen van de behandeling. Bijvoorbeeld kortademigheid, pijn of moe zijn. Lees verder over klachten na luchtpijpkanker .",We weten niet altijd wat de oorzaak is van luchtpijpkanker. Je loopt meer risico op een plaveiselcelcarcinoom in je luchtpijp als je rookt of hebt gerookt.,"Je kunt verschillende behandelingen krijgen bij luchtpijpkanker. Bijvoorbeeld een operatie, bestraling, chemoradiatie en chemotherapie. Lees verder over behandelingen bij luchtpijpkanker ."
Lymfeklierkanker,https://www.kanker.nl/kankersoorten/lymfeklierkanker/algemeen/wat-is-lymfeklierkanker,Lymfeklierkanker ontstaat in een lymfeklier of in lymfeweefsel. Vanuit daar kunnen de kankercellen zich verspreiden door het lichaam. Lymfeklierkanker wordt onderverdeeld in hodgkin en non-hodgkin.,N/A,N/A,N/A,N/A
Maagkanker,https://www.kanker.nl/kankersoorten/maagkanker/algemeen/wat-is-maagkanker,Maagkanker is kanker die in de maag ontstaat. De medische term is maagcarcinoom. Maagkanker wordt meestal pas laat ontdekt. Vaak zijn er dan al uitzaaiingen.,"Begrijpelijk dat je op zoek gaat naar wat maagkanker betekent voor je vooruitzichten. Is deze kanker goed te behandelen? En wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van maagkanker hangt af van verschillende dingen. Bijvoorbeeld van de soort maagkanker die je hebt, en hoe ver de ziekte is uitgebreid. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van maagkanker . Zit de tumor in het gebied waar de slokdarm overgaat in de maag, of daar dichtbij, dan heet het cardiakanker . Bekijk de overlevingscijfers van cardiakanker .","In het begin heb je van maagkanker meestal weinig of geen klachten. Als de tumor in je maagwand groeit, of daar doorheen, dan kun je wel klachten krijgen. Zoals (stekende) pijn boven in je buik of rond je borstbeen. Je kunt ook afvallen, misselijk zijn en/of braken. Lees verder over de symptomen van maagkanker .","Er zijn risicofactoren die de kans op maagkanker groter maken: een langdurige infectie met de Helicobacter pylori bacterie en een ongezonde leefstijl, bijvoorbeeld. Lees verder over de oorzaken en risicofactoren van maagkanker .","Er zijn verschillende behandelingen bij maagkanker. Vaak stelt de arts een combinatie van behandelingen voor. Welke behandeling de arts voorstelt, hangt onder andere af van de soort maagkanker en hoe uitgebreid de ziekte is: het stadium. Je kunt bijvoorbeeld een operatie krijgen, of chemotherapie, of bestraling. Lees verder over behandelingen van maagkanker ."
Melanoom,https://www.kanker.nl/kankersoorten/melanoom/algemeen/wat-is-melanoom,Een melanoom is een vorm van huidkanker. Die kan uitzaaien naar andere plekken in je lichaam. Je herkent een melanoom aan een vlekje op je huid dat snel groeit. Of een moedervlek die verandert.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is een melanoom goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose hangt af van verschillende dingen. Bijvoorbeeld hoe dik het melanoom is. En of het melanoom is uitgezaaid. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van melanoom .","Een melanoom en de behandeling kunnen invloed hebben op je leven. Sommige mensen blijven last houden van de gevolgen van de behandeling. Bijvoorbeeld van het litteken na de operatie, lymfoedeem of vermoeidheid. Lees verder over klachten na een melanoom .","Er zijn factoren die het risico op een melanoom groter maken. Zoals verbranding door de zon als je jong bent, een lichte huid of een erfelijke aanleg. Lees verder over de oorzaken en risicofactoren bij een melanoom .",Je kunt verschillende behandelingen krijgen bij een melanoom. Meestal krijg je een operatie. Soms krijg je een behandeling met medicijnen (immunotherapie of doelgerichte therapie) of bestraling. Lees verder over behandelingen bij een melanoom .
Merkelcelcarcinoom,https://www.kanker.nl/kankersoorten/merkelcelcarcinoom/algemeen/wat-is-merkelcelcarcinoom,Een merkelcelcarcinoom is kanker die in de huid ontstaat. Vaak groeit deze soort kanker snel. En zaait de kanker ook snel uit. Merkelcelcarcinoom komt weinig voor.,"Begrijpelijk dat je op zoek gaat naar wat merkelcelcarcinoom betekent voor je vooruitzichten. Is het goed te behandelen? En wat kan je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van merkelcelcarcinoom hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is. En of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van merkelcelcarcinoom .",N/A,N/A,Heb je een merkelcelcarcinoom? Dan krijg je vaak een operatie om de tumor weg te halen. Behalve als je uitzaaiingen hebt op andere plekken in je lichaam. Dan krijg je een behandeling om minder klachten te hebben. Of om de tumor minder snel te laten groeien. Lees verder over behandelingen bij merkelcelcarcinoom .
Mesothelioom,https://www.kanker.nl/kankersoorten/mesothelioom/algemeen/wat-is-mesothelioom,"Mesothelioom is kanker die in een vlies ontstaat, meestal in het longvlies. De belangrijkste oorzaak van mesothelioom is contact met asbest. Daarom heet de kanker ook wel asbestkanker. De vooruitzichten van mesothelioom zijn niet goed.",De vooruitzichten bij mesothelioom zijn niet goed. Je kunt niet genezen van mesothelioom. Gemiddeld leven mensen na de diagnose nog 13 tot 15 maanden. Je krijgt een behandeling om de ziekte te remmen en je klachten tegen te gaan. Lees verder over niet meer beter worden van kanker .,N/A,N/A,"Van mesothelioom kun je niet genezen. Je krijgt een behandeling om je leven te verlengen of je klachten te verminderen. Mogelijke behandelingen zijn immunotherapie, chemotherapie of bestraling. Soms krijg je een combinatie van behandelingen. Lees verder over de behandelingen van mesothelioom ."
Mondkanker,https://www.kanker.nl/kankersoorten/mondkanker/algemeen/wat-is-mondkanker,"Mondkanker is kanker die in de mondholte ontstaat. Bijvoorbeeld onder je tong, in je wang of op je tandvlees. Het medische woord voor mondkanker is mondholtekanker of mondholtecarcinoom.","Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is mondkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van mondkanker hangt af van verschillende dingen. Bijvoorbeeld hoe vroeg de ziekte is ontdekt en waar de kanker precies zit. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van mondkanker .",Mondkanker kun je merken aan een zweertje of een zwelling in je mond. Of je hebt rode of witte verdikte plekken in je mond. Lees verder over de symptomen bij mondkanker.,"Er zijn factoren die het risico op mondkanker groter maken, zoals roken en alcohol drinken. Lees verder over de oorzaken en risicofactoren bij mondkanker .","Er zijn verschillende behandelingen bij mondkanker. De meeste mensen krijgen een operatie. Maar bestraling kan ook, als eerste behandeling of na een andere behandeling. Soms krijg je een combinatie van behandelingen, bijvoorbeeld bestraling en chemotherapie (chemoradiatie). Lees verder over behandelingen bij mondkanker."
MPN (myeloproliferatieve neoplasmata),https://www.kanker.nl/kankersoorten/mpn-myeloproliferatieve-neoplasmata/algemeen/wat-is-mpn-myeloproliferatieve-neoplasmata,"MPN staat voor Myelo Proliferatieve Neoplasmata. Dit is een verzamelnaam voor 3 ziektes aan het beenmerg: polycythemia vera, essentiële trombocytemie en myelofibrose. Bij deze ziektes maakt je lichaam te veel of juist te weinig bloedcellen aan. MPN komen niet vaak voor: elk jaar krijgen ongeveer 1000 mensen deze diagnose.",MPN zijn chronische ziektes. Je kunt er niet van genezen. De behandeling die je krijgt is om zo weinig mogelijk last te hebben van de ziekte. Wil je meer weten? Vraag het je arts. Die kan je meer vertellen.,"Er zijn veel verschillende klachten bij MPN. Zoals vermoeidheid, hoofdpijn of jeuk. Of nachtzweten, afvallen of pijn in je botten. Maar deze klachten komen heel vaak voor. Meestal hebben ze een andere oorzaak. Vaak worden MPN toevallig ontdekt, bijvoorbeeld bij een bloedonderzoek. MPN zijn lastig te herkennen.",Bij MPN gaat er iets mis bij het maken van bloedcellen in het beenmerg. Er worden dan te veel of te weinig bloedcellen gemaakt. De oorzaak hiervan is een fout in het DNA (een mutatie) in de stamcellen. Stamcellen zijn cellen in het beenmerg die bloedcellen worden. Lees verder over beenmerg en bloedcellen en MPN .,"Welke behandeling je krijgt, ligt onder andere aan de soort MPN die je hebt. Door MPN kunnen bloedstolsels ontstaan. Daarom heb je een groter risico op een embolie of trombose. Veel mensen krijgen bloedverdunners om dit te voorkomen. Je kunt ook medicijnen krijgen die de extra aanmaak van de bloedcellen stoppen. Lees verder over de behandeling van MPN ."
Mucosaal melanoom,https://www.kanker.nl/kankersoorten/mucosaal-melanoom/algemeen/wat-is-mucosaal-melanoom,"Een mucosaal melanoom is kanker die ontstaat in je slijmvliezen. Bijvoorbeeld in je mond, neus of keel. Of in je vagina of anus. Deze soorten kanker groeien snel en zaaien snel uit. Als de kanker ontdekt wordt, is die vaak al uitgezaaid naar andere plekken in je lichaam.","Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is een mucosaal melanoom goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose hangt af van verschillende dingen. Bijvoorbeeld hoe uitgebreid het mucosaal melanoom is. En of het mucosaal melanoom is uitgezaaid. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen.","Een mucosaal melanoom en de behandeling kunnen invloed hebben op je leven. Sommige mensen blijven last houden van de gevolgen van de behandeling. Bijvoorbeeld van vermoeidheid, lymfoedeem, of klachten door de operatie. Lees verder over klachten na een mucosaal melanoom .",Er is vaak geen duidelijke oorzaak voor het krijgen van een mucosaal melanoom. Wel zijn er factoren waarvan artsen denken dat ze het risico op een mucosaal melanoom groter maken. Komen melanomen vaker voor in jouw familie? Dan loop je wat meer risico op een mucosaal melanoom. Een mucosaal melanoom komt ook vaker voor bij mensen van 65 of ouder. Kanker is niet besmettelijk. Ook een mucosaal melanoom niet. Je kunt dus geen mucosaal melanoom krijgen van iemand die de ziekte heeft.,"Je kunt verschillende behandelingen krijgen bij een mucosaal melanoom. Meestal krijg je een operatie. Soms krijg je immunotherapie, doelgerichte therapie of bestraling. Lees verder over behandelingen bij een mucosaal melanoom ."
Multipel myeloom (ziekte van Kahler),https://www.kanker.nl/kankersoorten/multipel-myeloom-ziekte-van-kahler/algemeen/wat-is-multipel-myeloom-ziekte-van-kahler,"Multipel myeloom is kanker van het beenmerg. Beenmerg zit binnen in je botten, waar je bloedcellen gemaakt worden. Multipel myeloom heet ook wel de ziekte van Kahler.","Is deze kanker goed te behandelen en wat zijn de vooruitzichten? Vaak willen mensen dit als eerste weten. Soms is daar iets over te zeggen, maar soms ook niet. De prognose van multipel myeloom hangt af van verschillende dingen. Je kunt niet genezen van multipel myeloom. Wel kunnen mensen door de behandeling een aantal jaar leven zonder veel klachten. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers over multipel myeloom . ","Je merkt multipel myeloom bijvoorbeeld door pijn in een bot of een botbreuk. Meestal zit de ziekte er dan al een tijdje. Ook kun je klachten hebben omdat je nieren niet goed werken. Bijvoorbeeld dat je minder moet plassen, meer dorst hebt of duizelig wordt. Of kun je erg moe zijn door bloedarmoede. Maar er zijn veel meer klachten van multipel myeloom. Ze verschillen erg per persoon en zijn ook niet bij iedereen even ernstig. Lees verder over de symptomen van multipel myeloom .","Multipel myeloom ontstaat door een afwijking in het DNA van de plasmacellen. Als je lichaam deze afwijking niet repareert, gaan de plasmacellen ongeremd delen. Het is onduidelijk waardoor multipel myeloom precies ontstaat. Je hebt zelf geen invloed op het krijgen van de ziekte. Voor zover nu bekend is, is multipel myeloom niet erfelijk.","Bij multipel myeloom is niet altijd direct een behandeling nodig. Je hematoloog bespreekt dit met je. Is er een behandeling nodig, dan is dat meestal een stamceltransplantatie. Dit is een zware behandeling. Voor sommige mensen is deze behandeling te zwaar. Of geeft de behandeling te veel kans op problemen. Dan krijg je medicijnen. Lees verder over de behandeling van multipel myeloom ."
Myelodysplastisch syndroom,https://www.kanker.nl/kankersoorten/myelodysplastisch-syndroom/algemeen/wat-is-myelodysplastisch-syndroom,"Myelodysplastisch syndroom (MDS) is een groep van beenmergziektes waarbij de aanmaak van bloedcellen is verstoord.MDS kan vrij rustig verlopen, maar kan zich ook ontwikkelen tot een ernstige ziekte die intensief behandeld moet worden.",N/A,N/A,N/A,N/A
Neuro-endocriene tumoren,https://www.kanker.nl/kankersoorten/neuro-endocriene-tumoren/algemeen/wat-is-neuro-endocriene-tumoren,Neuro-endocriene tumoren zijn zeldzame tumoren. Jaarlijks krijgen zo’n 700 mensen deze diagnose. Neuro-endocriene tumoren worden ook wel NET genoemd.,N/A,N/A,N/A,N/A
Neuskanker,https://www.kanker.nl/kankersoorten/neuskanker/algemeen/wat-is-neuskanker,Bij neuskanker zit er een kwaadaardige tumor in de neus. Neuskanker is een vorm van hoofd-halskanker.,Neuskanker is een ernstige ziekte. Gemiddeld zijn na 10 jaar ongeveer de helft van de mensen met neuskanker nog in leven. De vooruitzichten bij neuskanker hangen ook samen met het stadium van de ziekte. Bekijk de overlevingscijfers van neuskanker .,Neuskanker kan verschillende klachten geven. Bijvoorbeeld een verstopte neus die niet overgaat en minder goed kunnen ruiken. Lees verder over de symptomen van neuskanker .,De oorzaak van neuskanker is niet bekend. De belangrijkste risicofactor is roken. Houtbewerkers en leerlooiers hebben ook een grotere kans op neuskanker. Lees verder over de risicofactoren van neuskanker .,"Voor neuskanker zijn een paar behandelingen mogelijk. De meeste mensen met neuskanker krijgen een operatie. Na de operatie is vaak nog een behandeling met bestraling nodig. Als de tumor ver is doorgegroeid of is uitgezaaid naar andere organen, is genezing vaak niet meer mogelijk. Je krijgt dan een behandeling om de ziekte te remmen. Vaak is dat bestraling, of chemotherapie. Bekijk de uitgebreide informatie over de behandeling van neuskanker ."
