Cancer Type,Source URL,Scrape Date,Content Hash,General Description,Prognosis (Vooruitzichten),Symptoms (Symptomen),Causes (Oorzaken),Treatments (Behandeling),General Description_en,Prognosis (Vooruitzichten)_en,Symptoms (Symptomen)_en,Causes (Oorzaken)_en,Treatments (Behandeling)_en,trustworthiness
Melanoom,https://www.kanker.nl/kankersoorten/melanoom,2026-05-31 14:55:56,e98433ec70408bd7d246481186281ef061374bf2fe03f85d8bb010f9b78dfcea,Een melanoom is een vorm van huidkanker. Die kan uitzaaien naar andere plekken in je lichaam. Je herkent een melanoom aan een vlekje op je huid dat snel groeit. Of een moedervlek die verandert.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is een melanoom goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose hangt af van verschillende dingen. Bijvoorbeeld hoe dik het melanoom is. En of het melanoom is uitgezaaid. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van melanoom .","Zo herken je een melanoom: Je hebt opeens een nieuwe, opvallende moedervlek die donkerbruin of zwart is. Een nieuwe moedervlek verandert. Of een moedervlek die je al langer hebt, verandert. De moedervlek groeit, krijgt verschillende kleuren, wordt erg donker, wordt dikker of verandert van vorm. Een moedervlek jeukt, doet pijn, bloedt of gaat open. Herken je 1 of meer van deze dingen? Ga naar de huisarts. Die onderzoekt of het vlekje op je huid inderdaad een melanoom is. Goed om te weten: bij kinderen en jonge mensen is het normaal dat er moedervlekken ontstaan en (mee)groeien. Meestal is het dan geen melanoom.","Er zijn factoren die het risico op een melanoom groter maken. Zoals verbranding door de zon als je jong bent, een lichte huid of een erfelijke aanleg.",Je kunt verschillende behandelingen krijgen bij een melanoom. Meestal krijg je een operatie. Soms krijg je een behandeling met medicijnen (immunotherapie of doelgerichte therapie) of bestraling.,Melanoma is a form of skin cancer. It can spread to other places in your body. You can recognize a melanoma by a spot on your skin that grows quickly. Or a birthmark that changes.,"It is understandable that you want to know more about your prospects. Is melanoma easy to treat and what can you expect? Sometimes there is something to be said about that, but sometimes not. The prognosis depends on several things. For example, how thick the melanoma is. And whether the melanoma has spread. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. Or check out melanoma survival rates.","This is how you recognize melanoma: You suddenly have a new, striking birthmark that is dark brown or black. A new birthmark changes. Or a mole that you have had for some time is changing. The birthmark grows, takes on different colors, becomes very dark, thickens or changes shape. A mole itches, hurts, bleeds or opens. Do you recognize one or more of these things? Go to the doctor. They will examine whether the spot on your skin is indeed a melanoma. Good to know: in children and young people it is normal for moles to develop and grow. Usually it is not melanoma.","There are factors that increase the risk of melanoma. Such as sunburn when you are young, fair skin or a hereditary predisposition.",You can receive various treatments for melanoma. You will usually have an operation. Sometimes you will receive treatment with medication (immunotherapy or targeted therapy) or radiation.,4.9
Mesothelioom,https://www.kanker.nl/kankersoorten/mesothelioom,2026-05-31 14:56:04,8cea4c88919495e1b94ed7fa2070743839d41b59d1d29486734d9d8df755607d,"Mesothelioom is kanker die in een vlies ontstaat, meestal in het longvlies. De belangrijkste oorzaak van mesothelioom is contact met asbest. Daarom heet de kanker ook wel asbestkanker. De vooruitzichten van mesothelioom zijn niet goed.",Als je kanker hebt schieten allerlei vragen door je hoofd. Word ik weer beter? Hoe lang heb ik nog? Deze video helpt om daarover in gesprek te gaan met je arts en de mensen om je heen.,Van mesothelioom heb je in het begin vaak geen last. Symptomen van mesothelioom kunnen zijn: pijn in je borstkas problemen met ademen een pijnlijke en opgezwollen buik,Deze informatie is gecontroleerd door deskundigen.,"Van mesothelioom kun je niet genezen. Je krijgt een behandeling om je leven te verlengen of je klachten te verminderen. Mogelijke behandelingen zijn immunotherapie, chemotherapie of bestraling. Soms krijg je een combinatie van behandelingen.","Mesothelioma is cancer that arises in a membrane, usually in the lining of the lungs. The main cause of mesothelioma is contact with asbestos. That is why the cancer is also called asbestos cancer. The outlook for mesothelioma is not good.","If you have cancer, all kinds of questions run through your mind. Will I get better again? How long do I have? This video helps you discuss this with your doctor and the people around you.","Mesothelioma often doesn't bother you at first. Symptoms of mesothelioma may include: pain in your chest, difficulty breathing, a painful and swollen abdomen.",This information has been checked by experts.,"You cannot cure mesothelioma. You will receive treatment to prolong your life or reduce your complaints. Possible treatments include immunotherapy, chemotherapy or radiation. Sometimes you receive a combination of treatments.",4.9
Mondkanker,https://www.kanker.nl/kankersoorten/mondkanker,2026-05-31 14:56:06,4c646cf6a5ae1abc30cb4f9c09959bf581b60dd66f280558f69c2e7eff6d43bd,"Mondkanker is kanker die in de mondholte ontstaat. Bijvoorbeeld onder je tong, in je wang of op je tandvlees. Het medische woord voor mondkanker is mondholtekanker of mondholtecarcinoom.","Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is mondkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van mondkanker hangt af van verschillende dingen. Bijvoorbeeld hoe vroeg de ziekte is ontdekt en waar de kanker precies zit. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van mondkanker .",Mondkanker kun je merken aan een zweertje of een zwelling in je mond. Of je hebt rode of witte verdikte plekken in je mond.,Deze informatie is gecontroleerd door deskundigen.,"Er zijn verschillende behandelingen bij mondkanker. De meeste mensen krijgen een operatie. Maar bestraling kan ook, als eerste behandeling of na een andere behandeling.","Oral cancer is cancer that originates in the oral cavity. For example, under your tongue, in your cheek or on your gums. The medical word for oral cancer is oral cavity cancer or oral cavity carcinoma.","It is understandable that you want to know more about your prospects. Is oral cancer easy to treat and what can you expect? Sometimes there is something to be said about that, but sometimes not. The prognosis of oral cancer depends on several things. For example, how early the disease was discovered and where exactly the cancer is located. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. View oral cancer survival rates.",You can notice oral cancer by an ulcer or swelling in your mouth. Or you have red or white thickened spots in your mouth.,This information has been checked by experts.,"There are various treatments for oral cancer. Most people get surgery. But radiation is also possible, as a first treatment or after another treatment.",4.9
Neuro-endocriene tumoren,https://www.kanker.nl/kankersoorten/neuro-endocriene-tumoren,2026-05-31 14:56:18,5ff46b8e436fff3da5bd49083864a6bd8619564b69104ae57e5a2ff907420dd9,Neuro-endocriene tumoren zijn zeldzame tumoren. Jaarlijks krijgen zo’n 700 mensen deze diagnose. Neuro-endocriene tumoren worden ook wel NET genoemd.,,Deze informatie is gecontroleerd door deskundigen.,Deze informatie is gecontroleerd door deskundigen.,"Wanneer de uitslagen van de onderzoeken bekend zijn, zal de arts een voorstel doen voor een behandeling. Elke NET is verschillend en het ligt aan de eigenschappen van de tumor welke behandeling het meest geschikt is. Om je voor te bereiden op het gesprek met de arts kun je tips voor het gesprek met de arts op de website van Stichting NETNECkanker vinden. Het is ook mogelijk om te besluiten dat je  geen behandeling wilt. Hormoontherapie Er zijn medicijnen die de klachten door een teveel aan hormonen kunnen verlichten en de groei van NET kunnen remmen. Dit zijn bijvoorbeeld octreotide of lanreotide. De medicijnen remmen de aanmaak van de hormonen en proberen zo de klachten tegen te gaan. Je krijgt deze medicijnen meestal 1 keer per maand via een injectie. Operatie Als het kan, zal de arts proberen de tumor te verwijderen. Dit kan soms op meerdere manieren. De arts zal vertellen hoe de operatie eruit zal zien. Wanneer de tumor helemaal verwijderd kan worden, is het mogelijk om te genezen. Een operatie kan ook nodig zijn als de NET veel klachten geeft of juist om te voorkomen dat er klachten zullen ontstaan. Operatie van uitzaaiingen in de lever Soms haalt de arts bij uitzaaiingen in de lever een stuk van de lever weg tijdens een operatie. Dit kan niet altijd. De uitzaaiingen moeten op een plek zitten waar ze weggehaald kunnen worden door de chirurg, de uitzaaiingen mogen niet te groot zijn en na de operatie moet voldoende lever overblijven. Behandeling met PRRT Een behandeling met peptide receptor radiotherapie (PRRT) is meestal bedoeld om de kanker te remmen en de klachten te verminderen. PRRT is een behandeling met medicijnen die gelabeld zijn met radioactieve stoffen. Je krijgt de medicijnen via het infuus. Hoe de PRRT-behandeling precies gaat, staat vaak op de website van je ziekenhuis. Leverembolisatie Kan de arts de uitzaaiingen in de lever niet met een operatie verwijderen? Dan is misschien leverembolisatie mogelijk. Bij deze behandeling spuit de arts ‘bolletjes’ in de bloedvaten. De bolletjes zorgen ervoor dat het bloedvat dat naar de tumoren toegaat, dicht gaat zitten. Er kan geen bloed meer naar de tumor en hierdoor kan de tumor minder goed groeien. Doelgerichte therapie Soms is doelgerichte therapie een behandeling bij NET. Het doel is de kanker te remmen. Er zijn verschillende soorten doelgerichte therapie. Je hoort van de arts welk medicijn het meest geschikt is. Sommige medicijnen worden nog onderzocht bij NET. Die medicijnen kun je alleen in onderzoeksverband krijgen.",Neuroendocrine tumors are rare tumors. About 700 people receive this diagnosis every year. Neuroendocrine tumors are also called NET.,,This information has been checked by experts.,This information has been checked by experts.,"When the results of the tests are known, the doctor will make a proposal for treatment. Every NET is different and it depends on the characteristics of the tumor which treatment is most suitable. To prepare for the conversation with the doctor, you can find tips for the conversation with the doctor on the website of the NETNECkanker Foundation. It is also possible to decide that you do not want treatment. Hormone therapy There are medications that can relieve the symptoms caused by an excess of hormones and can inhibit the growth of NET. These are, for example, octreotide or lanreotide. The medications inhibit the production of hormones and thus try to counteract the complaints. You usually receive these medications as an injection once a month. Operation If possible, the doctor will try to remove the tumor. This can sometimes be done in several ways. The doctor will tell you what the operation will look like. If the tumor can be completely removed, it is possible to be cured. An operation may also be necessary if the NET causes many complaints or to prevent complaints from developing. Operation for metastases in the liver Sometimes the doctor removes a piece of the liver during an operation for metastases in the liver. This is not always possible. The metastases must be in a place where they can be removed by the surgeon, the metastases must not be too large and sufficient liver must remain after the operation. Treatment with PRRT Treatment with peptide receptor radiotherapy (PRRT) is usually intended to slow the cancer and reduce the symptoms. PRRT is a treatment with medications labeled with radioactive substances. You will receive the medication through an IV. How exactly the PRRT treatment works is often stated on your hospital's website. Liver embolization Can't the doctor remove the metastases in the liver with surgery? Then liver embolization may be possible. With this treatment, the doctor injects 'beads' into the blood vessels. The beads ensure that the blood vessel leading to the tumors becomes closed. Blood can no longer reach the tumor and this causes the tumor to grow less effectively. Targeted therapy Sometimes targeted therapy is a treatment for NET. The goal is to inhibit the cancer. There are different types of goal-oriented therapy. The doctor will tell you which medicine is most suitable. Some medications are still being investigated at NET. You can only get these medicines in a research context.",4.9
Multipel myeloom (ziekte van Kahler),https://www.kanker.nl/kankersoorten/multipel-myeloom-ziekte-van-kahler,2026-05-31 14:56:16,af401f27c78107cd520cf5b4aa47dd3185f2e4c1e7295fe46120e0acfac6b7c2,"Multipel myeloom is kanker van het beenmerg. Beenmerg zit binnen in je botten, waar je bloedcellen gemaakt worden. Multipel myeloom heet ook wel de ziekte van Kahler.","Is deze kanker goed te behandelen en wat zijn de vooruitzichten? Vaak willen mensen dit als eerste weten. Soms is daar iets over te zeggen, maar soms ook niet. De prognose van multipel myeloom hangt af van verschillende dingen. Je kunt niet genezen van multipel myeloom. Wel kunnen mensen door de behandeling een aantal jaar leven zonder veel klachten. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers over multipel myeloom .","Je merkt multipel myeloom bijvoorbeeld door pijn in een bot of een botbreuk. Meestal zit de ziekte er dan al een tijdje. Ook kun je klachten hebben omdat je nieren niet goed werken. Bijvoorbeeld dat je minder moet plassen, meer dorst hebt of duizelig wordt. Of kun je erg moe zijn door bloedarmoede. Maar er zijn veel meer klachten van multipel myeloom. Ze verschillen erg per persoon en zijn ook niet bij iedereen even ernstig.","Multipel myeloom ontstaat door een afwijking in het DNA van de plasmacellen. Als je lichaam deze afwijking niet repareert, gaan de plasmacellen ongeremd delen. Het is onduidelijk waardoor multipel myeloom precies ontstaat. Je hebt zelf geen invloed op het krijgen van de ziekte. Voor zover nu bekend is, is multipel myeloom niet erfelijk.","Bij multipel myeloom is niet altijd direct een behandeling nodig. Je hematoloog bespreekt dit met je. Is er een behandeling nodig, dan is dat meestal een stamceltransplantatie. Dit is een zware behandeling. Voor sommige mensen is deze behandeling te zwaar. Of geeft de behandeling te veel kans op problemen. Dan krijg je medicijnen.","Multiple myeloma is cancer of the bone marrow. Bone marrow is inside your bones, where your blood cells are made. Multiple myeloma is also called Kahler's disease.","Is this cancer easy to treat and what are the prospects? People often want to know this first. Sometimes there is something to be said about that, but sometimes not. The prognosis of multiple myeloma depends on several things. You cannot be cured of multiple myeloma. However, people can live for a number of years without many complaints due to the treatment. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. Or check out the survival rates for multiple myeloma.","You notice multiple myeloma, for example, by pain in a bone or a bone fracture. The disease has usually been there for a while. You may also have complaints because your kidneys are not working properly. For example, you may have to urinate less, be more thirsty or become dizzy. Or you may be very tired due to anemia. But there are many more complaints of multiple myeloma. They vary greatly from person to person and are not equally serious for everyone.","Multiple myeloma is caused by an abnormality in the DNA of the plasma cells. If your body does not repair this abnormality, the plasma cells will divide unchecked. It is unclear exactly what causes multiple myeloma. You have no influence on getting the disease. As far as is currently known, multiple myeloma is not hereditary.","Multiple myeloma does not always require immediate treatment. Your hematologist will discuss this with you. If treatment is required, it is usually a stem cell transplant. This is a tough treatment. For some people this treatment is too severe. Or does the treatment give too much chance of problems. Then you get medicine.",4.9
Myelodysplastisch syndroom,https://www.kanker.nl/kankersoorten/myelodysplastisch-syndroom,2026-05-31 14:56:17,c733bd95aed5729fe929233d09f84d4ce8106100f2ab6c2178bf8f96d4d4d1d7,"Myelodysplastisch syndroom (MDS) is een groep van beenmergziektes waarbij de aanmaak van bloedcellen is verstoord.MDS kan vrij rustig verlopen, maar kan zich ook ontwikkelen tot een ernstige ziekte die intensief behandeld moet worden.",Bij de diagnose MDS zal uw arts ook een score berekenen die aangeeft wat uw prognose is. Deze score heet de risicoscore. Met die informatie kan de arts globaal iets zeggen over uw verwachte levensduur. Het meest gebruikte systeem om deze score te berekenen is het International Prognostic Scoring System (IPPS). Het is onlangs aangepast en heet nu International Prognostic Scoring System Revised (IPSS-R).,Deze informatie is gecontroleerd door deskundigen.,Deze informatie is gecontroleerd door deskundigen.,Deze informatie is gecontroleerd door deskundigen.,"Myelodysplastic syndrome (MDS) is a group of bone marrow diseases in which the production of blood cells is disrupted. MDS can be quite uneventful, but can also develop into a serious disease that requires intensive treatment.","When diagnosing MDS, your doctor will also calculate a score that indicates your prognosis. This score is called the risk score. With this information, the doctor can roughly say something about your expected lifespan. The most commonly used system to calculate this score is the International Prognostic Scoring System (IPPS). It has recently been updated and is now called the International Prognostic Scoring System Revised (IPSS-R).",This information has been checked by experts.,This information has been checked by experts.,This information has been checked by experts.,4.9
Mucosaal melanoom,https://www.kanker.nl/kankersoorten/mucosaal-melanoom,2026-05-31 14:56:12,ca85d2b746ff16e72be89cfd4d88abcf623916826b64fa83631a26d9f9fb0cc0,"Een mucosaal melanoom is kanker die ontstaat in je slijmvliezen. Bijvoorbeeld in je mond, neus of keel. Of in je vagina of anus. Deze soorten kanker groeien snel en zaaien snel uit. Als de kanker ontdekt wordt, is die vaak al uitgezaaid naar andere plekken in je lichaam.","Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is een mucosaal melanoom goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose hangt af van verschillende dingen. Bijvoorbeeld hoe uitgebreid het mucosaal melanoom is. En of het mucosaal melanoom is uitgezaaid. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen.","Een mucosaal melanoom is moeilijk om zelf te herkennen. Het zit vaak op plekken die je niet goed kunt zien. Zoals in je mond, neus of keel. Of je blaas, vagina, penis of anus. Soms begint het als een klein plekje of zwelling, maar soms zie of voel je het niet. Soms kan het bloeden of pijn doen en geneest het niet. Omdat je het meestal zelf niet ziet, wordt het vaak pas ontdekt als je klachten krijgt. Dan is de kanker vaak al uitgezaaid naar de lymfeklieren of andere organen. Bekijk symptomen van een mucosaal melanoom .",Er is vaak geen duidelijke oorzaak voor het krijgen van een mucosaal melanoom. Wel zijn er factoren waarvan artsen denken dat ze het risico op een mucosaal melanoom groter maken. Komen melanomen vaker voor in jouw familie? Dan loop je wat meer risico op een mucosaal melanoom. Een mucosaal melanoom komt ook vaker voor bij mensen van 65 of ouder. Kanker is niet besmettelijk. Ook een mucosaal melanoom niet. Je kunt dus geen mucosaal melanoom krijgen van iemand die de ziekte heeft.,"Je kunt verschillende behandelingen krijgen bij een mucosaal melanoom. Meestal krijg je een operatie. Soms krijg je immunotherapie, doelgerichte therapie of bestraling.","A mucosal melanoma is cancer that develops in your mucous membranes. For example in your mouth, nose or throat. Or in your vagina or anus. These types of cancer grow quickly and spread quickly. When the cancer is discovered, it has often already spread to other places in your body.","It is understandable that you want to know more about your prospects. Is mucosal melanoma easy to treat and what can you expect? Sometimes there is something to be said about that, but sometimes not. The prognosis depends on several things. For example, how extensive the mucosal melanoma is. And whether the mucosal melanoma has spread. Do you want to know where you stand? Ask your doctor. He might be able to tell you more.","A mucosal melanoma is difficult to recognize yourself. It is often in places that you cannot see clearly. Such as in your mouth, nose or throat. Or your bladder, vagina, penis or anus. Sometimes it starts as a small spot or swelling, but sometimes you don't see or feel it. Sometimes it may bleed or hurt and may not heal. Because you usually don't see it yourself, it is often only discovered when you develop complaints. By then the cancer has often already spread to the lymph nodes or other organs. View symptoms of mucosal melanoma.","There is often no clear cause for developing mucosal melanoma. However, there are factors that doctors believe increase the risk of mucosal melanoma. Are melanomas more common in your family? Then you run a slightly higher risk of mucosal melanoma. Mucosal melanoma is also more common in people aged 65 or older. Cancer is not contagious. Not even a mucosal melanoma. So you cannot get mucosal melanoma from someone who has the disease.","You can receive various treatments for mucosal melanoma. You will usually have an operation. Sometimes you receive immunotherapy, targeted therapy or radiation.",4.9
Non-hodgkinlymfoom,https://www.kanker.nl/kankersoorten/non-hodgkinlymfoom,2026-05-31 14:56:27,da4e251593dc7c1630d24bcf24ad00716a73bac5138d012cb34bd05d42ce6136,Non-hodgkin of non-hodgkinlymfoom is een verzamelnaam voor lymfeklierkanker. De kanker ontstaat in een lymfeklier of in lymfeweefsel. Vanuit daar kunnen de kankercellen zich verspreiden door het lichaam.,"Als je weet dat je non-hodgkin hebt, heb je misschien vragen over je vooruitzichten. Is non-hodgkin goed te behandelen en wat zijn de verwachtingen? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van non-hodgkin hangt af van verschillende dingen. Het maakt vooral uit of het lymfoom agressief is, of indolent (niet-agressief). En welke soort je precies hebt. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van een agressief non-hodgkinlymfoom of de overlevingscijfers van een indolent non-hodgkinlymfoom .","Soms kun je een non-hodgkinlymfoom opmerken door een vergrote lymfeklier. Bijvoorbeeld als het lymfoom in de hals, de oksel of de lies zit. Maar je kunt ook andere klachten hebben door een non-hodgkinlymfoom.",Meestal is er geen duidelijke oorzaak van non-hodgkin. Non-hodgkin is ook niet erfelijk.,"Welke behandeling je krijgt, ligt aan welke soort non-hodgkin je precies hebt. Bij een agressief non-hodgkin moet de behandeling snel beginnen. Meestal krijg je dan chemo-immunotherapie. Heb je een indolent non-hodgkin, dan wil de arts misschien liever afwachten om te zien hoe de ziekte zich ontwikkelt. Het afwachten heet ‘ wait and see ’.","Non-Hodgkin or non-Hodgkin lymphoma is a collective name for lymphatic cancer. The cancer originates in a lymph node or lymphatic tissue. From there, the cancer cells can spread throughout the body.","If you know you have non-Hodgkin's, you may have questions about your prospects. Is non-Hodgkin's disease easy to treat and what are the expectations? Sometimes there is something to be said about that, but sometimes not. The prognosis of non-Hodgkin's depends on several things. It mainly matters whether the lymphoma is aggressive or indolent (non-aggressive). And exactly which type you have. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. Or view the survival rates of an aggressive non-Hodgkin's lymphoma or the survival rates of an indolent non-Hodgkin's lymphoma.","Sometimes you can notice non-Hodgkin lymphoma by an enlarged lymph node. For example, if the lymphoma is in the neck, armpit or groin. But you can also have other complaints due to non-Hodgkin lymphoma.",Usually there is no obvious cause of non-Hodgkin's. Non-Hodgkin's is also not hereditary.,"The treatment you receive depends on exactly which type of non-Hodgkin's you have. In an aggressive non-Hodgkin, treatment should begin promptly. You will usually receive chemo-immunotherapy. If you have an indolent non-Hodgkin's, the doctor may prefer to wait and see how the disease develops. The wait is called 'wait and see'.",4.9
Neuskanker,https://www.kanker.nl/kankersoorten/neuskanker,2026-05-31 14:56:25,4c6a53eecea9747509e2113c55093d9129454e95ee02b3480b76c9fd87aa6ece,Bij neuskanker zit er een kwaadaardige tumor in de neus. Neuskanker is een vorm van hoofd-halskanker.,Neuskanker is een ernstige ziekte. Gemiddeld zijn na 10 jaar ongeveer de helft van de mensen met neuskanker nog in leven. De vooruitzichten bij neuskanker hangen ook samen met het stadium van de ziekte. Bekijk de overlevingscijfers van neuskanker .,Deze informatie is gecontroleerd door deskundigen.,Deze informatie is gecontroleerd door deskundigen.,"Voor neuskanker zijn een paar behandelingen mogelijk. De meeste mensen met neuskanker krijgen een operatie. Na de operatie is vaak nog een behandeling met bestraling nodig. Als de tumor ver is doorgegroeid of is uitgezaaid naar andere organen, is genezing vaak niet meer mogelijk. Je krijgt dan een behandeling om de ziekte te remmen. Vaak is dat bestraling, of chemotherapie. Bekijk de uitgebreide informatie over de behandeling van neuskanker .",Nasal cancer is a malignant tumor in the nose. Nasal cancer is a form of head and neck cancer.,"Nasal cancer is a serious disease. On average, about half of the people with nose cancer are still alive after 10 years. The outlook for nose cancer also depends on the stage of the disease. View nasal cancer survival rates.",This information has been checked by experts.,This information has been checked by experts.,"There are a few treatments available for nose cancer. Most people with nose cancer undergo surgery. After the operation, radiation treatment is often required. If the tumor has grown far or has spread to other organs, healing is often no longer possible. You will then receive treatment to slow the disease. This is often radiation or chemotherapy. View the detailed information about the treatment of nose cancer.",4.9
Papil van Vater-kanker,https://www.kanker.nl/kankersoorten/papil-van-vater-kanker,2026-05-31 14:56:42,b9c45bf3b81a8d7ee20ee9b7a9ce9ef3a7cae39f22866f87e8900bee4226a01e,"Papil van Vater-kanker ontstaat in je buik, op de plek waar de alvleesklierbuis en de galweg bij elkaar komen. Deze plek heet de Papil van Vater. Deze kankersoort komt weinig voor. Papil van Vater-kanker heet ook wel papilkanker of ampullair (adeno)carcinoom.","Veel mensen die te horen hebben gekregen dat ze kanker hebben, willen iets weten over hun vooruitzichten. Wat staat er te gebeuren en hoe lang heb ik nog te leven? Vaak is het lastig om daar een duidelijk antwoord op te geven. De prognose hangt af van veel verschillende factoren. Bijvoorbeeld van hoe groot de tumor is, of de tumor in andere organen is gegroeid. En of er uitzaaiingen zijn en waar die zitten. Ook zijn de kenmerken van de tumor belangrijk. Die kenmerken kan de patholoog onder de microscoop zien en kunnen voorspellen hoe agressief de kanker is. Het is meestal heel moeilijk iets over je vooruitzichten te zeggen. Heb je vragen? Stel die aan je arts.","Klachten die door Papil van Vater-kanker kunnen komen zijn: afvallen pijn in de bovenbuik minder zin in eten vermoeidheid jeuk over het hele lichaam geelzucht, dat is te merken aan een gele huid, geel oogwit, hele lichte ontlasting (poep) en donkere urine (plas)","Waarom iemand kanker in de Papil van Vater krijgt, is niet bekend.","Er is nog geen richtlijn of protocol voor de behandeling van Papil van Vater-kanker. Daar is wetenschappelijk onderzoek voor nodig. Maar dat is lastig, omdat Papil van Vater-kanker zo weinig voorkomt. De groep patiënten is te klein om goed wetenschappelijk onderzoek te kunnen doen. Je arts legt aan je uit welke behandeling het meest geschikt is. Het maakt voor de behandeling uit of de kanker is uitgezaaid. En of de tumor in andere organen is gegroeid. Ook maakt het uit of de kanker meer op alvleesklierkanker lijkt of meer op darmkanker. Dit onderzoekt de patholoog in de kankercellen in het laboratorium.","Papilla of Vater cancer occurs in your abdomen, where the pancreatic duct and bile duct meet. This place is called the Papilla of Vater. This type of cancer is rare. Papilla of Vater cancer is also called papillary cancer or ampullary (adeno)carcinoma.","Many people who have been diagnosed with cancer want to know about their prospects. What's going to happen and how long do I have to live? It is often difficult to give a clear answer to that. The prognosis depends on many different factors. For example, how big the tumor is, or whether the tumor has grown in other organs. And whether there are metastases and where they are located. The characteristics of the tumor are also important. The pathologist can see these characteristics under the microscope and can predict how aggressive the cancer is. It is usually very difficult to say anything about your prospects. Do you have any questions? Ask your doctor.","Complaints that can be caused by papilla of Vater cancer are: losing weight pain in the upper abdomen less desire to eat fatigue itching all over the body jaundice, which is noticeable by yellow skin, yellow whites of the eyes, very light stools (faeces) and dark urine (pee)",It is not known why someone gets cancer in the Papilla of Vater.,"There is currently no guideline or protocol for the treatment of papilla of Vater cancer. This requires scientific research. But that is difficult, because papilla of Vater cancer is so rare. The group of patients is too small to conduct good scientific research. Your doctor will explain to you which treatment is most suitable. It matters for the treatment whether the cancer has spread. And whether the tumor has grown in other organs. It also matters whether the cancer looks more like pancreatic cancer or more like colon cancer. The pathologist examines this in the cancer cells in the laboratory.",4.9
Nierkanker,https://www.kanker.nl/kankersoorten/nierkanker,2026-05-31 14:56:26,80f88c6c2c6e30a90a4cda1d8e8d90350cdc5a70cd01082e194789cf0f0f8475,"Nierkanker is kanker die in de nier ontstaat. Meestal gaat het om niercelkanker, dit is de meest voorkomende soort nierkanker. De medische term is niercelcarcinoom.","Veel mensen gaan op zoek naar wat nierkanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van nierkanker hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is, of er uitzaaiingen zijn en of de behandeling goed aanslaat. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van nierkanker .","Vaak ontdekt de arts nierkanker toevallig. Bijvoorbeeld als je een echografie krijgt van je buik. De meeste mensen met nierkanker hebben in het begin geen klachten. Als de tumor groeit, kun je last krijgen van bloed in je plas, pijn in je zij of een voelbare zwelling van je buik.",De precieze oorzaak van nierkanker is niet bekend. Wel zijn er risicofactoren die de kans groter maken dat je nierkanker krijgt.,"De meeste mensen met nierkanker krijgen een operatie. De arts haalt de tumor dan weg. Je kunt ook een andere behandeling krijgen, zoals bestraling, warmte-ablatie met MWA (microwave ablatie) of cryo-ablatie. Bij kleine tumoren in de nier die langzaam groeien kan ook gewacht worden met de behandeling. Je krijgt dan regelmatig een echo of scan om de groei van de tumor te volgen. Als je uitzaaiingen hebt, krijg je meestal bestraling, doelgerichte therapie of immunotherapie. Vaak stelt de arts een combinatie van behandelingen voor.","Kidney cancer is cancer that originates in the kidney. This usually concerns renal cell cancer, which is the most common type of kidney cancer. The medical term is renal cell carcinoma.","Many people start looking for what kidney cancer means for their prospects. Is this cancer easy to treat and what can I expect? Sometimes there is something to be said about that, but sometimes not. The prognosis of kidney cancer depends on several things. For example, how big the tumor is, whether there are metastases and whether the treatment is working well. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. Or check out kidney cancer survival rates.","The doctor often discovers kidney cancer by chance. For example, if you get an ultrasound of your abdomen. Most people with kidney cancer initially have no complaints. As the tumor grows, you may experience blood in your urine, pain in your side or a palpable swelling of your abdomen.","The exact cause of kidney cancer is not known. However, there are risk factors that increase the chance of developing kidney cancer.","Most people with kidney cancer undergo surgery. The doctor then removes the tumor. You can also receive other treatment, such as radiation, heat ablation with MWA (microwave ablation) or cryo-ablation. For small tumors in the kidney that grow slowly, treatment can also be postponed. You will then regularly receive an ultrasound or scan to monitor the growth of the tumor. If you have metastases, you usually receive radiation, targeted therapy or immunotherapy. The doctor often suggests a combination of treatments.",4.9
